Removed Pin From Net: NetName=5V Pin=C25-1
Removed Pin From Net: NetName=GND Pin=J1-1
Removed Pin From Net: NetName=3.3V Pin=J1-2
Removed Pin From Net: NetName=OLED_SCL Pin=J1-3
Removed Pin From Net: NetName=OLED_SDA Pin=J1-4
Removed Pin From Net: NetName=LED1 Pin=R1-1
Removed Pin From Net: NetName=NetLED1_2 Pin=R1-2
Removed Pin From Net: NetName=LED2 Pin=R2-1
Removed Pin From Net: NetName=NetLED2_2 Pin=R2-2
Removed Pin From Net: NetName=TCK/SWDCLK Pin=U1-8
Removed Pin From Net: NetName=TCK/SWDCLK Pin=U1-50
Removed Pin From Net: NetName=Data0 Pin=U9-4
Change Component Footprint: Designator=CN1 Old Footprint=PinHeader_1x06_P2.54mm_Vertical New Footprint=Romi-header6
Change Component Footprint: Designator=CN2 Old Footprint=PinHeader_2x05_P2.54mm_Vertical New Footprint=Romi_Header5x2
Change Component Footprint: Designator=CN3 Old Footprint=PinHeader_2x08_P2.54mm_Vertical New Footprint=Romi_header8x2
Change Component Footprint: Designator=CN18 Old Footprint=PinSocket_2x20_P2.54mm_Horizontal New Footprint=Raspberry_Pi_2_3
Change Component Footprint: Designator=R1 Old Footprint=RESC0402(1005)_L New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R2 Old Footprint=RESC0402(1005)_L New Footprint=RESC0603(1608)_N
Change Component Comment : Designator=CN1 Old Comment=PinHeader_1x06_P2.54mm_Vertical New Comment=Header 6
Change Component Comment : Designator=CN2 Old Comment=PinHeader_2x05_P2.54mm_Vertical New Comment=Romi-Header 5X2
Change Component Comment : Designator=CN3 Old Comment=PinHeader_2x08_P2.54mm_Vertical New Comment=Romi_Header 8X2
Change Component Comment : Designator=CN18 Old Comment=Raspberry_Pi_2_3 New Comment=Header 20X2
Change Managed Component Library Link : Designator=C14 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C15 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C16 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C17 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C25 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C26 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C27 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C28 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C29 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C30 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C31 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C32 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C33 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change Managed Component Library Link : Designator=C34 Old VaultGUID= New VaultGUID=B3BAF519-299B-447A-A8BD-03A4A932C43E Old ItemGUID= New ItemGUID=10FA4390-58B6-4748-AE65-D65AB8D8CC39 Old RevisionGUID= New RevisionGUID=488D83FC-F524-41A9-BB95-7398DE996177
Change component parameters: Designator = "CN18" ("CN18"); Footprint = "PinSocket_2x20_P2.54mm_Horizontal"; UniqueID = "\WNUSQSGY" ("\WNUSQSGY")
Change component parameters (AddParameter): Name = "Category"; Value = "Connectors, Interconnects"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.harwin.com/include/downloads/drawings/M20-976.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.harwin.com/include/downloads/drawings/M20-976.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Header, Unshrouded, Breakaway"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish Thickness"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Mating Length"; Value = "0.228" (5.80mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fastening Type"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Harwin Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "M20-9762046"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions Loaded"; Value = "All"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.100" (2.54mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=1.08, 10=0.946, 25=0.8904, 50=0.8534, 100=0.8162, 250=0.742, 500=0.6678, 1000=0.5936, 2500=0.53795 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Row Spacing"; Value = "0.100" (2.54mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "1666"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "952-1896-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "RESC0402(1005)_L"; UniqueID = "\ACMLGZXU" ("\ACMLGZXU")
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "0603WAF5760T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Size"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Supplier 1"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "RESC0402(1005)_L"; UniqueID = "\IUYRLYUH" ("\IUYRLYUH")
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "0603WAF5760T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Size"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Supplier 1"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters: Designator = "C14" ("C14"); Footprint = "CAPC0402(1005)_L"; UniqueID = "\SGVMOAUK" ("\SGVMOAUK")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "900µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Max)"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Min)"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage (Rated)"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "800µm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C15" ("C15"); Footprint = "CAPC0402(1005)_L"; UniqueID = "\XLTMMKCO" ("\XLTMMKCO")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "900µm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature (Max)"; Value = "125°C"; VariantName = "[No Variations]"
