Removed Pin From Net: NetName=5V Pin=CN5-1
Removed Pin From Net: NetName=GND Pin=CN6-10
Removed Pin From Net: NetName=5V Pin=CN12-1
Removed Pin From Net: NetName=5V_USB Pin=CN16-1
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=GND Pin=CN16-5
Removed Pin From Net: NetName=NetLED2_2 Pin=R2-1
Removed Pin From Net: NetName=GND Pin=U1-2
Removed Pin From Net: NetName=SPI_CS_FLASH Pin=U1-41
Removed Pin From Net: NetName=GND Pin=U1-53
Change Component Footprint: Designator=CN16 Old Footprint=10118194-0001LF New Footprint=USB-TYPE-C MOLEX 1054500101
Change Component Comment : Designator=R2 Old Comment=576 New Comment=1.0K
Change Component Comment : Designator=CN5 Old Comment=Header 4 New Comment=SPI1
Change Component Comment : Designator=CN16 Old Comment=MicroUSB New Comment=1054500101
Change Component Comment : Designator=CN12 Old Comment=SONAR-BR New Comment=Header 4
Change component parameters: Designator = "CN16" ("CN16"); Footprint = "10118194-0001LF"; UniqueID = "\JUGYJFEC" ("\JUGYJFEC")
Change component parameters (AddParameter): Name = "Category"; Value = "Connectors, Interconnects"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.molex.com/pdm_docs/sd/1054500101_sd.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.molex.com/pdm_docs/sd/1054500101_sd.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "USB - C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "0.25A, 1A, 5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Receptacle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ingress Protection"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Molex, LLC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "1054500101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material Flammability Rating"; Value = "UL94 V-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mating Cycles"; Value = "10000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Feature"; Value = "Horizontal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, Right Angle; Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "24"; VariantName = "[No Variations]"
