Altium Designer Pick and Place Locations
C:\github\STM32-ROMI\Altium\STM32-ROMI_Rev_A\Project Outputs for STM32-ROMI_Rev_A\Folder Structure\Generates pick and place files\STM32-ROMI_Rev_A-2020-08-18.txt

========================================================================================================================
File Design Information:

Date:       18/08/20
Time:       22:01
Revision:   e8b02b2ca1cfa1a4eb94ae15e64b80dc23fcc2fa
Variant:    No variations
Units used: mm

Designator Center-X(mm) Center-Y(mm) Layer       Rotation 
CN16       97.0280mm    3.6360mm     BottomLayer 180      
CN4        74.7268mm    73.3552mm    TopLayer    90       
C50        70.6628mm    89.9922mm    TopLayer    90       
C49        70.6628mm    92.7862mm    TopLayer    270      
C47        40.8940mm    75.1840mm    TopLayer    90       
C30        40.8940mm    78.1240mm    TopLayer    270      
C20        61.0362mm    58.0136mm    TopLayer    360      
C19        65.3288mm    69.2912mm    TopLayer    360      
C3         37.7444mm    66.1416mm    TopLayer    180      
C2         39.6240mm    71.9836mm    TopLayer    180      
C54        89.4080mm    8.8900mm     TopLayer    180      
C52        13.4620mm    7.3660mm     TopLayer    180      
C51        78.4098mm    103.1240mm   TopLayer    90       
C34        83.3374mm    94.6912mm    TopLayer    270      
C33        85.0900mm    94.6912mm    TopLayer    270      
C24        63.5000mm    85.0280mm    TopLayer    270      
C5         67.0560mm    28.4480mm    TopLayer    0        
C4         40.6400mm    59.4360mm    TopLayer    270      
C1         80.3402mm    71.0438mm    TopLayer    90       
C13        68.6054mm    69.2404mm    TopLayer    270      
C12        47.9806mm    71.7550mm    TopLayer    180      
C11        50.2920mm    76.4540mm    TopLayer    90       
C10        68.0720mm    71.8820mm    TopLayer    90       
C9         66.9544mm    59.2328mm    TopLayer    270      
C8         47.3710mm    62.4078mm    TopLayer    180      
C44        64.2620mm    16.7640mm    TopLayer    180      
C42        57.0165mm    22.6430mm    TopLayer    360      
C41        20.1549mm    18.1987mm    TopLayer    360      
C31        91.4908mm    70.7898mm    TopLayer    180      
C29        91.4908mm    68.8594mm    TopLayer    180      
